epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,247.475,1.84479,1.35181,1.31964,0.75515,0.65821,0.73052,0.32227,1.81414,1.3116,1.38862,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,251.588,1.81906,1.3183,1.30561,0.75515,0.65821,0.73052,0.32227,1.81414,1.3116,1.38862,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,255.567,1.84933,1.32768,1.2873,0.75034,0.6565,0.73192,0.32561,1.80555,1.30962,1.38333,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,258.06,1.78703,1.31161,1.29534,0.73834,0.67675,0.73423,0.32218,1.81359,1.312,1.38294,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,261.564,1.81759,1.35016,1.32477,0.73088,0.67683,0.73447,0.32329,1.81126,1.30849,1.38156,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,264.467,1.76283,1.34963,1.31567,0.73088,0.67683,0.73447,0.32329,1.81126,1.30849,1.38156,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,266.891,1.79156,1.39275,1.33746,0.72723,0.68293,0.73955,0.32653,1.80404,1.30435,1.37746,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,269.935,1.76417,1.34086,1.31946,0.73401,0.68496,0.74155,0.32906,1.80149,1.30069,1.37793,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,273.254,1.83361,1.35299,1.32394,0.73364,0.68699,0.74276,0.32949,1.80347,1.30216,1.37882,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,276.231,1.76079,1.32769,1.30818,0.73364,0.68699,0.74276,0.32949,1.80347,1.30216,1.37882,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
